,genre
322,"RE,SE,CP"
323,"RE,SE,CP"
324,"RE,SE,CP"
325,"SE,CP"
326,"RE,SE,CP"
327,"RE,SE"
328,"RE,CP"
329,"RE,CP"
330,CP
331,"SE,CP"
332,"SE,CP"
333,"SE,CP"
334,"RE,SE,CP"
335,"SE,CP"
336,SE
337,"RE,SE,CP"
338,"RE,SE,CP"
339,SE
340,"RE,SE,CP"
341,SE
342,SE
343,"SE,CP"
344,"RE,SE,CP"
345,"SE,CP"
346,"SE,CP"
347,"SE,CP"
348,"RE,SE,CP"
349,"SE,CP"
350,"SE,CP"
351,SE
352,"SE,CP"
353,"SE,CP"
354,"RE,SE,CP"
355,"SE,CP"
356,"SE,MA,CP"
357,"SE,CP"
358,CP
359,CP
360,"RE,SE,CP"
361,"RE,SE,CP"
362,"RE,SE,CP"
363,"SE,CP"
364,"RE,SE,CP"
365,"SE,CP"
366,CP
367,RE
368,"SE,CP"
369,"RE,SE,CP"
370,"RE,SE"
371,"SE,MA,CP"
372,"SE,CP"
373,"SE,CP"
374,"SE,MA,CP"
375,SE
376,"RE,SE,CP"
377,"SE,CP"
378,"RE,SE,MA,CP"
379,"RE,SE"
380,"SE,CP"
381,"RE,SE,CP"
382,"SE,MA"
383,"RE,SE"
384,"RE,SE,CP"
385,"RE,SE,CP"
386,"SE,CP"
387,"RE,SE,CP"
388,"SE,MA,CP"
389,SE
390,"RE,CP"
391,"SE,CP"
392,"RE,SE"
393,SE
394,"SE,CP"
395,SE
396,"SE,MA,CP"
397,"RE,SE"
398,"SE,CP"
399,"RE,SE,CP"
400,"SE,CP"
401,RE
402,SE
403,"SE,CP"
404,"RE,SE,CP"
405,"MA,CP"
406,CP
407,"SE,CP"
408,"RE,SE,CP"
409,"SE,CP"
410,"RE,SE,CP"
411,"RE,SE"
412,CP
413,SE
414,"SE,CP"
415,"RE,SE,CP"
416,"RE,SE,CP"
417,"RE,SE"
418,"RE,SE,CP"
419,"RE,SE,CP"
420,"RE,SE,CP"
421,"SE,CP"
422,"SE,CP"
423,"SE,CP"
424,"SE,CP"
425,"SE,CP"
426,"RE,SE,CP"
427,"RE,SE,CP"
428,"SE,CP"
429,"RE,SE,CP"
430,"SE,CP"
431,"RE,SE"
432,"RE,SE,CP"
433,"SE,CP"
434,SE
435,"SE,CP"
436,"RE,SE"
437,"SE,CP"
438,"SE,CP"
439,"SE,CP"
440,SE
441,"SE,CP"
442,"RE,SE,CP"
443,CP
444,"RE,SE,CP"
445,"RE,SE,CP"
446,"RE,SE,CP"
447,"RE,SE,CP"
448,SE
449,"SE,CP"
450,"SE,CP"
451,SE
452,SE
453,SE
454,"RE,CP"
455,"SE,CP"
456,SE
457,"SE,CP"
458,"RE,SE,CP"
459,"SE,CP"
460,"RE,SE,MA,CP"
461,"SE,CP"
462,"RE,SE,CP"
463,"RE,CP"
464,"SE,CP"
465,"SE,CP"
466,"SE,CP"
467,"SE,MA,CP"
468,SE
469,"SE,CP"
470,"RE,SE,CP"
471,"RE,SE,CP"
472,"SE,CP"
473,"SE,CP"
474,"RE,SE,CP"
475,"SE,CP"
476,"RE,SE,CP"
477,"SE,CP"
478,"SE,CP"
479,"RE,SE,CP"
480,"SE,CP"
481,CP
482,"SE,CP"
483,"SE,CP"
484,"SE,MA,CP"
485,"SE,CP"
486,"SE,CP"
487,"SE,CP"
488,"SE,CP"
489,"RE,SE,CP"
490,"RE,SE,CP"
491,"SE,CP"
492,"SE,CP"
493,SE
494,"RE,SE,CP"
495,"SE,MA,CP"
496,CP
497,"RE,SE,CP"
498,CP
499,"SE,CP"
500,"SE,CP"
501,"SE,CP"
502,"RE,SE,CP"
